id,track_name,artist,album,popularity,duration_minutes
1,"Oru Manam (From ""Dhruva Natchathiram"")",Harris Jayaraj,"Oru Manam (From ""Dhruva Natchathiram"")",55,5.6709
2,APT.,ROSÉ,APT.,88,2.83195
3,Happier,Marshmello,Happier,82,3.57148
4,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,CHARLIE,73,2.57477
5,Glad You Exist,Dan + Shay,Glad You Exist,54,2.40888
6,Attention,Charlie Puth,Voicenotes,88,3.47977
7,Something Just Like This,The Chainsmokers,Memories...Do Not Open,87,4.11933
8,Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,82,2.58305
9,Night Changes,One Direction,FOUR (Deluxe),87,3.77662
10,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind (Special Edition),83,3.62843
13,It Ain't Me (with Selena Gomez),Kygo,It Ain't Me (with Selena Gomez),78,3.67967
14,The Business,Tiësto,The Business,74,2.73333
15,No One Else Like You,Adam Levine,Can A Song Save Your Life? - Music From And Inspired By The Original Motion Picture (Deluxe),25,3.47377
16,This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition,87,3.43667
17,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),92,4.07807
18,Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,85,4.45133
